loc,objTSizeLarge,"repoName"
/data/github_go/repos/go-ethereum/eth/downloader/downloader.go@1463:5:1463:29,true,go-ethereum
/data/github_go/repos/go-ethereum/eth/downloader/skeleton.go@533:6:533:52,true,go-ethereum
/data/github_go/repos/go-ethereum/eth/downloader/skeleton.go@706:3:706:33,true,go-ethereum
/data/github_go/repos/go-ethereum/ethstats/ethstats.go@716:3:716:36,true,go-ethereum
/data/github_go/repos/go-ethereum/les/downloader/downloader.go@1643:5:1643:29,true,go-ethereum
/data/github_go/repos/go-ethereum/p2p/discover/lookup.go@202:3:202:27,true,go-ethereum
/data/github_go/repos/go-ethereum/p2p/discover/v5_udp.go@911:4:911:20,true,go-ethereum
/data/github_go/repos/go-ethereum/rpc/handler.go@130:2:130:22,true,go-ethereum
/data/github_go/repos/go-git/plumbing/object/commit_walker_bfs.go@59:3:59:23,true,go-git
/data/github_go/repos/go-git/plumbing/object/commit_walker_bfs_filtered.go@146:3:146:23,true,go-git
/data/github_go/repos/go-ibax/packages/block/play.go@355:4:355:16,true,go-ibax
/data/github_go/repos/go-ibax/packages/block/play.go@407:4:407:16,true,go-ibax
/data/github_go/repos/go-ibax/packages/service/jsonrpc/service.go@210:2:210:20,true,go-ibax
/data/github_go/repos/go-micro/transport/http_client.go@88:4:88:28,true,go-micro
/data/github_go/repos/go-micro/transport/http_client.go@123:4:123:28,true,go-micro
/data/github_go/repos/go-micro/util/ring/buffer.go@50:3:50:21,true,go-micro
/data/github_go/pattern/newHaveRepos/go-tools/quickfix/qf1008/qf1008.go@91:84:91:151,true,go-tools
/data/github_go/repos/go-zero/core/stringx/node.go@44:3:44:19,true,go-zero
/data/github_go/repos/godropbox/executor/executor.go@335:2:335:32,true,godropbox
/data/github_go/repos/godropbox/resource_pool/simple_resource_pool.go@288:3:288:37,true,godropbox
/data/github_go/repos/godropbox/resource_pool/simple_resource_pool.go@335:3:335:60,true,godropbox
/data/github_go/repos/goleveldb/leveldb/table.go@296:3:296:22,true,goleveldb
/data/github_go/repos/goofys/internal/file.go@411:4:411:30,true,goofys
/data/github_go/repos/google-cloud-go/internal/btree/btree.go@187:3:187:48,true,google-cloud-go
/data/github_go/repos/gorgonia/node.go@608:3:608:21,true,gorgonia
/data/github_go/repos/gorgonia/node.go@620:3:620:25,true,gorgonia
/data/github_go/repos/grpc-go/internal/channelz/types.go@641:3:641:25,true,grpc-go
/data/github_go/repos/gvisor/pkg/sentry/socket/control/control.go@721:3:721:19,true,gvisor
/data/github_go/repos/gvisor/runsc/boot/controller.go@322:3:322:29,true,gvisor
/data/github_go/repos/gvisor/runsc/boot/controller.go@338:2:338:54,true,gvisor
/data/github_go/repos/gvisor/runsc/boot/vfs.go@354:2:354:18,true,gvisor
/data/github_go/repos/helm/pkg/action/list.go@214:2:214:33,true,helm
/data/github_go/repos/hugo/markup/asciidocext/internal/converter.go@200:4:200:24,true,hugo
/data/github_go/repos/istio/pilot/pkg/networking/core/v1alpha3/match/match.go@149:3:149:11,true,istio
/data/github_go/repos/jaeger/plugin/storage/memory/memory.go@275:3:275:44,true,jaeger
/data/github_go/repos/juicefs/cmd/restore.go@76:2:76:22,true,juicefs
/data/github_go/repos/juicefs/pkg/meta/base.go@2328:4:2328:24,true,juicefs
/data/github_go/repos/juicefs/pkg/meta/base.go@2335:5:2335:25,true,juicefs
/data/github_go/repos/juicefs/pkg/meta/base.go@2340:5:2340:25,true,juicefs
/data/github_go/repos/juicefs/pkg/meta/redis.go@2899:2:2899:18,true,juicefs
/data/github_go/repos/juicefs/pkg/meta/redis.go@3729:4:3729:22,true,juicefs
/data/github_go/repos/juicefs/pkg/meta/sql.go@2743:2:2743:18,true,juicefs
/data/github_go/repos/juicefs/pkg/meta/tkv.go@2391:2:2391:18,true,juicefs
/data/github_go/repos/juicefs/pkg/meta/tkv_etcd.go@265:4:265:26,true,juicefs
/data/github_go/repos/juicefs/pkg/object/sftp.go@103:3:103:21,true,juicefs
/data/github_go/repos/juicefs/pkg/vfs/writer.go@215:3:215:25,true,juicefs
/data/github_go/repos/k6/output/cloud/v1/output.go@443:3:443:24,true,k6
/data/github_go/repos/kit/metrics/cloudwatch/cloudwatch.go@234:3:234:44,true,kit
/data/github_go/repos/kitex/pkg/generic/thrift/parse.go@84:3:84:27,true,kitex
/data/github_go/repos/kitex/pkg/remote/connpool/long_pool.go@177:2:177:28,true,kitex
